FID,CITY_NAME,CITY_ENG,OSTAN_NAME
0,نخل تقي,Nakhl-e Taqi,بوشهر
1,خورموج,Khormuj,بوشهر
2,كاكي,Kaki,بوشهر
3,ريز,Riz,بوشهر
4,دلوار,Delvar,بوشهر
5,بردخون,Bardkhun,بوشهر
6,آبدان,Abdan,بوشهر
7,جهرم,Jahrom,فارس
8,قطب آباد,Qotbabad,فارس
9,زاهدشهر,Zahedshahr,فارس
10,نوبندگان,Nowbandegan,فارس
11,قير,Qir,فارس
12,كارزين,Karzin,فارس
13,افزر,Afzar,فارس
14,جويم,Joyom,فارس
15,اشكنان,Ashkenan,فارس
16,اهل,Ahel,فارس
17,بيرم,Beyrom,فارس
18,خنج,Khonj,فارس
19,عسلويه,Asaluyeh,بوشهر
20,علامرودشت,Alamarvdasht,فارس
21,مهر,Mohr,فارس
22,وراوي,Varavi,فارس
23,پارسيان,Parsiyan,هرمزگان
24,گله دار,Galehdar,فارس
25,بندركنگان,Bandar-e Kangan,بوشهر
26,بنك,Banak,بوشهر
27,جم,Jam,بوشهر
28,بندردير,Bandar-e Dayyer,بوشهر
29,طاهري,Taheri,بوشهر
30,اوز,Evaz,فارس
31,امام شهر,Emamshahr,فارس
32,كوشكنار,Kushkonar,هرمزگان
33,مبارك آباد,Mobarakabad,فارس
34,لامرد,Lamerd,فارس
35,شادگان,Shadegan,خوزستان
36,لالي,Lali,خوزستان
37,شوشتر,Shushtar,خوزستان
38,گتوند,Gotvand,خوزستان
39,سالند,Saland,خوزستان
40,حر,Hor,خوزستان
41,شوش,Shush,خوزستان
42,ميانرود,Miyanrud,خوزستان
43,صفي اباد,Safiabad,خوزستان
44,دزآب,Dezab,خوزستان
45,دزفول,Dezful,خوزستان
46,بستان,Bostan,خوزستان
47,رفيع,Rafi,خوزستان
48,هويزه,Hoveyzeh,خوزستان
49,سوسنگرد,Susangerd,خوزستان
50,حميديه,Hamidiyeh,خوزستان
51,شيبان,Sheyban,خوزستان
52,ويس,Veys,خوزستان
53,ملاثاني,Molasani,خوزستان
54,مقاومت,Moqavemat,خوزستان
55,خرمشهر,Khorramshahr,خوزستان
56,آبادان,Abadan,خوزستان
57,بندرماهشهر,Bandar-e Mahshahr,خوزستان
58,چمران,Chamran,خوزستان
59,اروندكنار,Arvandkenar,خوزستان
60,حمزه,Hamzeh,خوزستان
61,صالح شهر,Salehshahr,خوزستان
62,تركالكي,Torkalaki,خوزستان
63,شرافت,Sharafat,خوزستان
64,الوان,Alvan,خوزستان
65,دارخوين,Darkhoveyn,خوزستان
66,چوئبده,Choabdeh,خوزستان
67,اهواز,Ahvaz,خوزستان
68,مينوشهر,Minushahr,خوزستان
69,كلمه,Kolmeh,بوشهر
70,اهرم,Ahram,بوشهر
71,چغادك,Choghadak,بوشهر
72,سده,Sedeh,فارس
73,سي سخت,Sisakht,كهگيلويه وبويراحمد
74,باشت,Basht,كهگيلويه وبويراحمد
75,كامفيروز,Kamfiruz,فارس
76,اردكان,Ardakan,فارس
77,مصيري,Masiri,فارس
78,نورآباد,Nurabad,فارس
79,مرودشت,Marvdasht,فارس
80,آباده طشك,Abadehtashk,فارس
81,ارسنجان,Arsanjan,فارس
82,زرقان,Zarqan,فارس
83,خرامه,Kharameh,فارس
84,سروستان,Sarvestan,فارس
85,رونيز,Runiz,فارس
86,لپوئي,Lapuee,فارس
87,داريان,Daryan,فارس
88,سورشجان,Surshjan,چهارمحال وبختياري
89,جونقان,Junaqan,چهارمحال وبختياري
90,طاقانك,Taqanak,چهارمحال وبختياري
91,عقدا,Aqda,يزد
92,ندوشن,Nedushan,يزد
93,كازرون,Kazerun,فارس
94,خشت,Khesht,فارس
95,قائميه,Qaemiyeh,فارس
96,بالاده,Baladeh,فارس
97,نودان,Nowdan,فارس
98,برازجان,Borazjan,بوشهر
99,دالكي,Dalaki,بوشهر
100,تنگ ارم,Tang-e Eram,بوشهر
101,سعدآباد,Sadabad,بوشهر
102,وحدتيه,Vahdatiyeh,بوشهر
103,باب انار,Babanar,فارس
104,خاوران,Khavaran,فارس
105,فسا,Fasa,فارس
106,ششده,Sheshdeh,فارس
107,شبانكاره,Shabankareh,بوشهر
108,بندرگناوه,Bandar-e Genaveh,بوشهر
